Reformulation,LowerBound,Beta,Gamma,Theta,Instance,Simulation
"['vertex_to_global_color', 'vertex_unique_color']",2.3268294095866295,0.9962075879901382,3.5719263091004665,0.5261619409529378,15_Vertices_0.4_Sparsity,2
"['vertex_to_global_color', 'adjacent_vertex']",10.386817015498893,-0.20703166737241374,6.635257496798704,0.5729715489989463,15_Vertices_0.4_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",10.329727217956703,-0.19850898857411448,13.449762356044584,0.6981940048408117,15_Vertices_0.4_Sparsity,2
['vertex_to_global_color'],2.324716763750846,0.9965229753736656,1.2267382732349634,0.1218851570964247,15_Vertices_0.4_Sparsity,2
vertex_unique_color,2.3170669352093585,0.9976649838292568,3.5745029926805936,0.4928035043804756,15_Vertices_0.4_Sparsity,2
adjacent_vertex,2.2952329645480885,1.0009244789903664,4.041397673106775,0.5460655278633436,15_Vertices_0.4_Sparsity,2
vertex_to_global_color,2.324716763750846,0.9965229753736656,1.156740702514785,0.1218851570964247,15_Vertices_0.4_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color']",2.3268294095866295,0.9962075879901382,3.5719263091004665,0.5261619409529378,15_Vertices_0.4_Sparsity,2
"['vertex_to_global_color', 'adjacent_vertex']",10.386817015498893,-0.20703166737241374,6.635257496798704,0.5729715489989463,15_Vertices_0.4_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",10.329727217956703,-0.19850898857411448,13.449762356044584,0.6981940048408117,15_Vertices_0.4_Sparsity,2
['vertex_to_global_color'],2.324716763750846,0.9965229753736656,1.2267382732349634,0.1218851570964247,15_Vertices_0.4_Sparsity,2
vertex_unique_color,2.3170669352093585,0.9976649838292568,3.5745029926805936,0.4928035043804756,15_Vertices_0.4_Sparsity,2
adjacent_vertex,2.2952329645480885,1.0009244789903664,4.041397673106775,0.5460655278633436,15_Vertices_0.4_Sparsity,2
vertex_to_global_color,2.324716763750846,0.9965229753736656,1.156740702514785,0.1218851570964247,15_Vertices_0.4_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color']",2.3268294095866295,0.9962075879901382,3.5719263091004665,0.5261619409529378,15_Vertices_0.4_Sparsity,2
"['vertex_to_global_color', 'adjacent_vertex']",10.386817015498893,-0.20703166737241374,6.635257496798704,0.5729715489989463,15_Vertices_0.4_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",10.329727217956703,-0.19850898857411448,13.449762356044584,0.6981940048408117,15_Vertices_0.4_Sparsity,2
['vertex_to_global_color'],2.324716763750846,0.9965229753736656,1.2267382732349634,0.1218851570964247,15_Vertices_0.4_Sparsity,2
vertex_unique_color,2.3161105383101224,0.9941158214510433,5.009475740686478,0.576711827169535,15_Vertices_0.6_Sparsity,2
adjacent_vertex,2.295347791578527,0.9997187515164833,2.7443982655871233,0.4965156794425087,15_Vertices_0.6_Sparsity,2
